bLabel,Havering,bName,Havering,EnglishWelsh,218681,French,334,Portuguese,260,Spanish,211,Italian,166,German,129,Polish,829,Slovak,55,Czech,44,Romanian,401,Lithuanian,980,Latvian,101,Hungarian,94,Bulgarian,208,Greek,95,Dutch,60,Swedish,25,Danish,12,Finnish,14,Estonian,8,Slovenian,1,Maltese,24
bLabel,Hillingdon,bName,Hillingdon,EnglishWelsh,212899,French,851,Portuguese,1332,Spanish,669,Italian,453,German,410,Polish,3994,Slovak,191,Czech,107,Romanian,707,Lithuanian,828,Latvian,110,Hungarian,323,Bulgarian,333,Greek,300,Dutch,275,Swedish,116,Danish,80,Finnish,38,Estonian,73,Slovenian,6,Maltese,29
bLabel,Hounslow,bName,Hounslow,EnglishWelsh,172336,French,1470,Portuguese,1952,Spanish,1149,Italian,845,German,588,Polish,9969,Slovak,453,Czech,197,Romanian,732,Lithuanian,981,Latvian,257,Hungarian,350,Bulgarian,640,Greek,224,Dutch,228,Swedish,184,Danish,85,Finnish,64,Estonian,26,Slovenian,14,Maltese,24
bLabel,Islington,bName,Islington,EnglishWelsh,159142,French,3143,Portuguese,1655,Spanish,3435,Italian,2464,German,1549,Polish,1456,Slovak,182,Czech,169,Romanian,256,Lithuanian,187,Latvian,56,Hungarian,333,Bulgarian,265,Greek,1760,Dutch,402,Swedish,520,Danish,168,Finnish,129,Estonian,33,Slovenian,20,Maltese,41
bLabel,KensingtonChelsea,bName,Kensington and Chelsea,EnglishWelsh,110286,French,7470,Portuguese,2091,Spanish,4150,Italian,3733,German,2072,Polish,934,Slovak,103,Czech,115,Romanian,176,Lithuanian,148,Latvian,41,Hungarian,210,Bulgarian,208,Greek,1067,Dutch,802,Swedish,1111,Danish,349,Finnish,139,Estonian,36,Slovenian,22,Maltese,20
bLabel,KingstonThames,bName,Kingston upon Thames,EnglishWelsh,128153,French,772,Portuguese,814,Spanish,888,Italian,648,German,1076,Polish,1919,Slovak,234,Czech,145,Romanian,172,Lithuanian,341,Latvian,38,Hungarian,373,Bulgarian,471,Greek,452,Dutch,136,Swedish,164,Danish,65,Finnish,86,Estonian,26,Slovenian,3,Maltese,21
bLabel,Lambeth,bName,Lambeth,EnglishWelsh,231479,French,5098,Portuguese,9897,Spanish,7152,Italian,3110,German,1408,Polish,6451,Slovak,394,Czech,300,Romanian,538,Lithuanian,487,Latvian,143,Hungarian,624,Bulgarian,579,Greek,575,Dutch,380,Swedish,399,Danish,144,Finnish,116,Estonian,64,Slovenian,31,Maltese,104
bLabel,Lewisham,bName,Lewisham,EnglishWelsh,219115,French,3929,Portuguese,1966,Spanish,2477,Italian,1543,German,952,Polish,4088,Slovak,245,Czech,204,Romanian,658,Lithuanian,1179,Latvian,210,Hungarian,479,Bulgarian,718,Greek,411,Dutch,321,Swedish,299,Danish,120,Finnish,112,Estonian,54,Slovenian,7,Maltese,29
bLabel,Merton,bName,Merton,EnglishWelsh,150411,French,1536,Portuguese,1625,Spanish,1396,Italian,969,German,835,Polish,6604,Slovak,363,Czech,183,Romanian,581,Lithuanian,566,Latvian,59,Hungarian,390,Bulgarian,885,Greek,247,Dutch,207,Swedish,197,Danish,152,Finnish,68,Estonian,41,Slovenian,13,Maltese,52
bLabel,Newham,bName,Newham,EnglishWelsh,171429,French,2532,Portuguese,4061,Spanish,2211,Italian,875,German,510,Polish,5966,Slovak,589,Czech,214,Romanian,4555,Lithuanian,7833,Latvian,590,Hungarian,882,Bulgarian,2022,Greek,283,Dutch,244,Swedish,116,Danish,56,Finnish,45,Estonian,46,Slovenian,6,Maltese,42
bLabel,Redbridge,bName,Redbridge,EnglishWelsh,200637,French,1230,Portuguese,1042,Spanish,629,Italian,469,German,318,Polish,2293,Slovak,138,Czech,119,Romanian,1783,Lithuanian,2668,Latvian,148,Hungarian,159,Bulgarian,570,Greek,326,Dutch,89,Swedish,72,Danish,36,Finnish,29,Estonian,12,Slovenian,4,Maltese,12
bLabel,RichmondThames,bName,Richmond upon Thames,EnglishWelsh,159779,French,1169,Portuguese,626,Spanish,1204,Italian,889,German,1648,Polish,1712,Slovak,222,Czech,171,Romanian,148,Lithuanian,155,Latvian,33,Hungarian,303,Bulgarian,225,Greek,206,Dutch,326,Swedish,613,Danish,179,Finnish,132,Estonian,35,Slovenian,6,Maltese,14
bLabel,Southwark,bName,Southwark,EnglishWelsh,221428,French,4404,Portuguese,3653,Spanish,6429,Italian,2527,German,1551,Polish,3171,Slovak,310,Czech,240,Romanian,569,Lithuanian,655,Latvian,183,Hungarian,547,Bulgarian,539,Greek,919,Dutch,412,Swedish,430,Danish,190,Finnish,162,Estonian,63,Slovenian,34,Maltese,38
bLabel,Sutton,bName,Sutton,EnglishWelsh,164133,French,543,Portuguese,812,Spanish,535,Italian,374,German,252,Polish,1921,Slovak,102,Czech,107,Romanian,287,Lithuanian,271,Latvian,23,Hungarian,148,Bulgarian,493,Greek,119,Dutch,82,Swedish,50,Danish,31,Finnish,29,Estonian,16,Slovenian,8,Maltese,24
bLabel,TowerHamlets,bName,Tower Hamlets,EnglishWelsh,159568,French,3286,Portuguese,2033,Spanish,2928,Italian,2684,German,1757,Polish,2287,Slovak,244,Czech,190,Romanian,411,Lithuanian,926,Latvian,191,Hungarian,637,Bulgarian,515,Greek,893,Dutch,373,Swedish,597,Danish,242,Finnish,163,Estonian,77,Slovenian,39,Maltese,102
bLabel,WalthamForest,bName,Waltham Forest,EnglishWelsh,180596,French,2297,Portuguese,1927,Spanish,1546,Italian,1014,German,550,Polish,8021,Slovak,857,Czech,486,Romanian,4031,Lithuanian,3171,Latvian,390,Hungarian,652,Bulgarian,2155,Greek,561,Dutch,131,Swedish,116,Danish,52,Finnish,34,Estonian,39,Slovenian,11,Maltese,14
bLabel,Wandsworth,bName,Wandsworth,EnglishWelsh,242062,French,4181,Portuguese,3009,Spanish,3400,Italian,2897,German,1645,Polish,6191,Slovak,542,Czech,368,Romanian,346,Lithuanian,456,Latvian,157,Hungarian,745,Bulgarian,642,Greek,510,Dutch,502,Swedish,579,Danish,213,Finnish,116,Estonian,67,Slovenian,24,Maltese,55
bLabel,Westminster,bName,Westminster,EnglishWelsh,146293,French,6350,Portuguese,3575,Spanish,4745,Italian,3745,German,2278,Polish,1315,Slovak,195,Czech,155,Romanian,338,Lithuanian,262,Latvian,111,Hungarian,308,Bulgarian,398,Greek,2304,Dutch,804,Swedish,1085,Danish,342,Finnish,196,Estonian,47,Slovenian,49,Maltese,28
