2929,South Asian Language: Gujarati,England and Wales,213094,0.003949,6
2930,Arabic,England and Wales,159290,0.00295192,7
2931,French,England and Wales,147099,0.002726,8
2932,East Asian Language: All other Chinese,England and Wales,141052,0.00261394,9
2933,Portuguese,England and Wales,133453,0.00247312,10
2934,Spanish,England and Wales,120222,0.00222792,11
2935,South Asian Language: Tamil,England and Wales,100689,0.00186594,12
2936,Turkish,England and Wales,99423,0.00184248,13
2937,Other European Language (EU): Italian,England and Wales,92241,0.00170939,14
2938,African Language: Somali,England and Wales,85918,0.00159221,15
2939,Other European Language (EU): Lithuanian,England and Wales,85469,0.00158389,16
2940,Other European Language (EU): German,England and Wales,77240,0.00143139,17
2941,West or Central Asian Language: Persian-Farsi,England and Wales,76391,0.00141566,18
2942,East Asian Language: Tagalog-Filipino,England and Wales,70342,0.00130356,19
2943,Other European Language (EU): Romanian,England and Wales,67586,0.00125249,20
2944,Russian,England and Wales,67366,0.00124841,21
2945,South Asian Language: Nepalese,England and Wales,52785,9.78E-04,22
2946,Other European Language (EU): Slovak,England and Wales,50485,9.36E-04,23
2947,Other European Language (EU): Greek,England and Wales,50205,9.30E-04,24
2948,West Central Asian Language: Kurdish,England and Wales,48239,8.94E-04,25
2949,South Asian Language: Hindi,England and Wales,45757,8.48E-04,26
2950,East Asian Language: Cantonese Chinese,England and Wales,44404,8.23E-04,27
2951,Other European Language (EU): Hungarian,England and Wales,44365,8.22E-04,28
2952,West-Central Asian Language: Pashto,England and Wales,40277,7.46E-04,29
2953,Other European Language (EU): Bulgarian,England and Wales,38496,7.13E-04,30
2954,South Asian Language: Malayalam,England and Wales,36186,6.71E-04,31
2955,Other European Language (non EU): Albanian,England and Wales,32425,6.01E-04,32
2956,Other European Language (EU): Latvian,England and Wales,31523,5.84E-04,33
2957,Other European Language (EU): Czech,England and Wales,29363,5.44E-04,34
2958,East Asian Language: Japanese,England and Wales,27764,5.15E-04,35
2959,East Asian Language: Thai,England and Wales,27366,5.07E-04,36
2960,South Asian Language: South Asian Language (all other),England and Wales,27359,5.07E-04,37
2961,Other European Language (EU): Dutch,England and Wales,26657,4.94E-04,38
2962,African Language: African language (all other),England and Wales,22511,4.17E-04,39
2963,East Asian Language: Mandarin Chinese,England and Wales,22025,4.08E-04,40
2964,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),England and Wales,21854,4.05E-04,41
2965,African Language: Shona,England and Wales,21395,3.96E-04,42
2966,Other European Language (EU): Swedish,England and Wales,19211,3.56E-04,43
2967,African Language: Akan,England and Wales,18417,3.41E-04,44
2968,Other Languages: All other languages,England and Wales,18129,3.36E-04,45
2969,Sign Language: British sign language,England and Wales,15487,2.87E-04,46
2970,East Asian Language: Korean,England and Wales,15218,2.82E-04,47
2971,East Asian Language: Vietnamese,England and Wales,15168,2.81E-04,48
2972,African Language: Swahili-Kiswahili,England and Wales,15059,2.79E-04,49
2973,African Language: Yoruba,England and Wales,14914,2.76E-04,50
2974,South Asian Language: Sinhala,England and Wales,14736,2.73E-04,51
2975,South Asian Language: Telugu,England and Wales,14653,2.72E-04,52
2976,West Other European Language (non EU): Serbian-Croatian-Bosnianr Central Asian Language: West or Central Asian Language (all other),England and Wales,14164,2.62E-04,53
2977,West or Central Asian Language: West or Central Asian Language (all other),England and Wales,13551,2.51E-04,54
2978,East Asian Language: Malay,England and Wales,12576,2.33E-04,55
2979,African Language: Tigrinya,England and Wales,12443,2.31E-04,56
2980,East Asian Language: East Asian Language (all other),England and Wales,11914,2.21E-04,57
2981,African Language: Afrikaans,England and Wales,11247,2.08E-04,58
2982,Other European Language (non EU): Northern European Language (non EU),England and Wales,10777,2.00E-04,59
2983,Other European Language (EU): Danish,England and Wales,9971,1.85E-04,60
2984,African Language: West African language (all other),England and Wales,9402,1.74E-04,61
2985,African Language: Amharic,England and Wales,8615,1.60E-04,62
2986,Welsh Cymraeg (in England only),England and Wales,8248,1.53E-04,63
2987,African Language: Igbo,England and Wales,7946,1.47E-04,64
2988,African Language: Any other Nigerian language,England and Wales,6639,1.23E-04,65
2989,Other European Language (EU): Finnish,England and Wales,6592,1.22E-04,66
2990,Other European Language (non EU): Ukrainian,England and Wales,6578,1.22E-04,67
2991,South Asian Language: Marathi,England and Wales,6406,1.19E-04,68
2992,West or Central Asian Language: Hebrew,England and Wales,6207,1.15E-04,69
2993,African Language: Lingala,England and Wales,4914,9.11E-05,70
2994,Other UK language: Total,England and Wales,4770,8.84E-05,71
2995,Other European Language (non-national): Yiddish,England and Wales,3987,7.39E-05,72
2996,Sign Language: Any Sign Communication System,England and Wales,3646,6.76E-05,73
2997,African Language: Luganda,England and Wales,3445,6.38E-05,74
2998,Other European Language (EU): Estonian,England and Wales,3398,6.30E-05,75
2999,Other European Language (EU): Maltese,England and Wales,3108,5.76E-05,76
3000,Other European Language (EU): Any other European Language (EU),England and Wales,2969,5.50E-05,77
3001,Sign Language: Sign Language (all other),England and Wales,2838,5.26E-05,78
3002,Oceanic - Australian language (any),England and Wales,1792,3.32E-05,79
3003,Other European Language (non EU): Any other Eastern European Language (non EU),England and Wales,1735,3.22E-05,80
3004,Other European Language (EU): Slovenian,England and Wales,1235,2.29E-05,81
3005,African Language: Krio,England and Wales,1192,2.21E-05,82
3006,North-South American language (any),England and Wales,1026,1.90E-05,83
3007,Other European Language (non-national): Romani language (any),England and Wales,629,1.17E-05,84
3008,Caribbean Creole: Caribbean Creole (English-based),England and Wales,409,7.58E-06,85
3009,Caribbean Creole: Caribbean Creole (all other),England and Wales,101,1.87E-06,86
