id,lang,bName,sNum,sProportion,langRank
709,East Asian Language: All other Chinese,Ealing,1044,0.00323375,21
710,Other European Language (EU): Lithuanian,Ealing,1031,0.00319348,22
711,South Asian Language: Bengali (with Sylheti and Chatgaya),Ealing,964,0.00298595,23
712,Other European Language (EU): Bulgarian,Ealing,960,0.00297356,24
713,Other European Language (EU): German,Ealing,934,0.00289303,25
714,East Asian Language: Tagalog-Filipino,Ealing,914,0.00283108,26
715,Other European Language (EU): Romanian,Ealing,889,0.00275364,27
716,Other European Language (EU): Hungarian,Ealing,885,0.00274125,28
717,Other European Language (EU): Greek,Ealing,760,0.00235407,29
718,Other European Language (non EU): Albanian,Ealing,694,0.00214964,30
719,West Other European Language (non EU): Serbian-Croatian-Bosnianr Central Asian Language: West or Central Asian Language (all other),Ealing,657,0.00203503,31
720,South Asian Language: South Asian Language (all other),Ealing,586,0.00181511,32
721,Other European Language (EU): Slovak,Ealing,520,0.00161068,33
722,South Asian Language: Malayalam,Ealing,467,0.00144651,34
723,South Asian Language: Sinhala,Ealing,434,0.0013443,35
724,Turkish,Ealing,369,0.00114296,36
725,Other Languages: All other languages,Ealing,358,0.00110889,37
726,East Asian Language: Thai,Ealing,330,0.00102216,38
727,Other European Language (EU): Dutch,Ealing,315,9.76E-04,39
728,East Asian Language: Cantonese Chinese,Ealing,297,9.20E-04,40
729,East Asian Language: East Asian Language (all other),Ealing,282,8.73E-04,41
730,African Language: African language (all other),Ealing,282,8.73E-04,42
731,Other European Language (EU): Czech,Ealing,270,8.36E-04,43
732,Other European Language (EU): Swedish,Ealing,257,7.96E-04,44
733,Other European Language (non EU): Ukrainian,Ealing,256,7.93E-04,45
734,African Language: Tigrinya,Ealing,212,6.57E-04,46
735,Other European Language (EU): Latvian,Ealing,210,6.50E-04,47
736,African Language: Swahili-Kiswahili,Ealing,202,6.26E-04,48
737,African Language: Akan,Ealing,181,5.61E-04,49
738,East Asian Language: Mandarin Chinese,Ealing,168,5.20E-04,50
739,African Language: Amharic,Ealing,163,5.05E-04,51
740,East Asian Language: Korean,Ealing,151,4.68E-04,52
741,African Language: Afrikaans,Ealing,135,4.18E-04,53
742,South Asian Language: Telugu,Ealing,130,4.03E-04,54
743,East Asian Language: Malay,Ealing,126,3.90E-04,55
744,Other European Language (EU): Danish,Ealing,118,3.66E-04,56
745,Other European Language (non EU): Northern European Language (non EU),Ealing,114,3.53E-04,57
746,South Asian Language: Marathi,Ealing,101,3.13E-04,58
747,African Language: Yoruba,Ealing,100,3.10E-04,59
748,African Language: Any other Nigerian language,Ealing,92,2.85E-04,60
749,Sign Language: British sign language,Ealing,92,2.85E-04,61
750,Other European Language (EU): Finnish,Ealing,91,2.82E-04,62
751,East Asian Language: Vietnamese,Ealing,91,2.82E-04,63
752,African Language: Igbo,Ealing,89,2.76E-04,64
753,Other European Language (non EU): Any other Eastern European Language (non EU),Ealing,85,2.63E-04,65
754,Welsh Cymraeg (in England only),Ealing,83,2.57E-04,66
755,African Language: West African language (all other),Ealing,79,2.45E-04,67
756,African Language: Shona,Ealing,78,2.42E-04,68
757,West or Central Asian Language: Hebrew,Ealing,63,1.95E-04,69
758,Other European Language (EU): Estonian,Ealing,47,1.46E-04,70
759,Other European Language (EU): Any other European Language (EU),Ealing,44,1.36E-04,71
760,African Language: Lingala,Ealing,43,1.33E-04,72
761,Other European Language (EU): Maltese,Ealing,40,1.24E-04,73
762,African Language: Luganda,Ealing,38,1.18E-04,74
763,Other UK language: Total,Ealing,37,1.15E-04,75
764,Sign Language: Sign Language (all other),Ealing,26,8.05E-05,76
765,North-South American language (any),Ealing,25,7.74E-05,77
766,Other European Language (EU): Slovenian,Ealing,20,6.20E-05,78
767,Sign Language: Any Sign Communication System,Ealing,20,6.20E-05,79
768,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),Ealing,19,5.89E-05,80
769,Oceanic - Australian language (any),Ealing,10,3.10E-05,81
770,African Language: Krio,Ealing,10,3.10E-05,82
771,Other European Language (non-national): Romani language (any),Ealing,6,1.86E-05,83
772,Caribbean Creole: Caribbean Creole (English-based),Ealing,4,1.24E-05,84
773,Caribbean Creole: Caribbean Creole (all other),Ealing,4,1.24E-05,85
774,Other European Language (non-national): Yiddish,Ealing,0,0,86
775,English (English or Welsh if in Wales),Enfield,229660,0.7714685,1
776,Turkish,Enfield,18378,0.06173495,2
777,Other European Language (EU): Polish,Enfield,5837,0.01960751,3
778,Other European Language (EU): Greek,Enfield,4627,0.01554291,4
779,African Language: Somali,Enfield,3127,0.01050415,5
780,South Asian Language: Bengali (with Sylheti and Chatgaya),Enfield,2594,0.0087137,6
781,South Asian Language: Gujarati,Enfield,2490,0.00836435,7
782,French,Enfield,2360,0.00792766,8
783,West Central Asian Language: Kurdish,Enfield,1990,0.00668476,9
784,Other European Language (EU): Italian,Enfield,1799,0.00604316,10
785,Other European Language (non EU): Albanian,Enfield,1742,0.00585169,11
786,Other European Language (EU): Bulgarian,Enfield,1721,0.00578114,12
787,West or Central Asian Language: Persian-Farsi,Enfield,1552,0.00521344,13
788,Other European Language (EU): Romanian,Enfield,1508,0.00506564,14
789,South Asian Language: Tamil,Enfield,1320,0.00443411,15
790,Portuguese,Enfield,1279,0.00429639,16
791,Arabic,Enfield,1197,0.00402093,17
792,Spanish,Enfield,1105,0.00371189,18
793,African Language: Akan,Enfield,1004,0.00337261,19
794,Other European Language (EU): Lithuanian,Enfield,765,0.00256977,20
795,South Asian Language: Urdu,Enfield,751,0.00252274,21
796,East Asian Language: All other Chinese,Enfield,618,0.00207597,22
797,East Asian Language: Tagalog-Filipino,Enfield,600,0.00201551,23
798,Other Languages: All other languages,Enfield,587,0.00197184,24
799,Russian,Enfield,582,0.00195504,25
800,Other European Language (EU): Hungarian,Enfield,480,0.0016124,26
801,African Language: Lingala,Enfield,459,0.00154186,27
802,African Language: Igbo,Enfield,423,0.00142093,28
803,Other European Language (EU): Czech,Enfield,391,0.00131344,29
804,Other European Language (EU): German,Enfield,387,0.0013,30
805,South Asian Language: Sinhala,Enfield,376,0.00126305,31
806,African Language: African language (all other),Enfield,355,0.00119251,32
807,South Asian Language: Panjabi,Enfield,342,0.00114884,33
808,Other European Language (EU): Slovak,Enfield,327,0.00109845,34
809,West or Central Asian Language: West or Central Asian Language (all other),Enfield,289,9.71E-04,35
810,East Asian Language: Cantonese Chinese,Enfield,276,9.27E-04,36
811,West-Central Asian Language: Pashto,Enfield,241,8.10E-04,37
812,African Language: Swahili-Kiswahili,Enfield,236,7.93E-04,38
813,South Asian Language: Hindi,Enfield,229,7.69E-04,39
814,African Language: Yoruba,Enfield,215,7.22E-04,40
815,Other European Language (EU): Dutch,Enfield,208,6.99E-04,41
816,African Language: Shona,Enfield,199,6.68E-04,42
817,East Asian Language: Vietnamese,Enfield,196,6.58E-04,43
818,South Asian Language: Malayalam,Enfield,182,6.11E-04,44
819,African Language: Amharic,Enfield,179,6.01E-04,45
820,African Language: West African language (all other),Enfield,173,5.81E-04,46
821,West Other European Language (non EU): Serbian-Croatian-Bosnianr Central Asian Language: West or Central Asian Language (all other),Enfield,170,5.71E-04,47
822,African Language: Luganda,Enfield,162,5.44E-04,48
823,East Asian Language: Mandarin Chinese,Enfield,142,4.77E-04,49
824,South Asian Language: South Asian Language (all other),Enfield,139,4.67E-04,50
825,East Asian Language: Japanese,Enfield,137,4.60E-04,51
826,African Language: Tigrinya,Enfield,129,4.33E-04,52
827,Sign Language: British sign language,Enfield,126,4.23E-04,53
828,African Language: Any other Nigerian language,Enfield,113,3.80E-04,54
829,Other European Language (EU): Latvian,Enfield,95,3.19E-04,55
830,Other European Language (EU): Swedish,Enfield,95,3.19E-04,56
831,East Asian Language: Thai,Enfield,93,3.12E-04,57
832,East Asian Language: East Asian Language (all other),Enfield,90,3.02E-04,58
833,South Asian Language: Telugu,Enfield,80,2.69E-04,59
834,African Language: Afrikaans,Enfield,73,2.45E-04,60
835,Other European Language (non EU): Ukrainian,Enfield,72,2.42E-04,61
836,Other European Language (EU): Danish,Enfield,69,2.32E-04,62
837,South Asian Language: Nepalese,Enfield,54,1.81E-04,63
838,Other European Language (non EU): Northern European Language (non EU),Enfield,51,1.71E-04,64
839,West or Central Asian Language: Hebrew,Enfield,49,1.65E-04,65
840,Other UK language: Total,Enfield,48,1.61E-04,66
841,Other European Language (EU): Finnish,Enfield,46,1.55E-04,67
842,Other European Language (non EU): Any other Eastern European Language (non EU),Enfield,38,1.28E-04,68
843,South Asian Language: Marathi,Enfield,33,1.11E-04,69
844,Welsh Cymraeg (in England only),Enfield,31,1.04E-04,70
845,East Asian Language: Malay,Enfield,27,9.07E-05,71
846,Sign Language: Sign Language (all other),Enfield,24,8.06E-05,72
847,Other European Language (EU): Maltese,Enfield,23,7.73E-05,73
848,East Asian Language: Korean,Enfield,23,7.73E-05,74
849,Other European Language (EU): Any other European Language (EU),Enfield,21,7.05E-05,75
850,African Language: Krio,Enfield,19,6.38E-05,76
851,Sign Language: Any Sign Communication System,Enfield,17,5.71E-05,77
852,Other European Language (non-national): Romani language (any),Enfield,12,4.03E-05,78
853,Other European Language (EU): Estonian,Enfield,9,3.02E-05,79
854,North-South American language (any),Enfield,7,2.35E-05,80
855,Caribbean Creole: Caribbean Creole (English-based),Enfield,7,2.35E-05,81
856,Caribbean Creole: Caribbean Creole (all other),Enfield,4,1.34E-05,82
857,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),Enfield,3,1.01E-05,83
858,Oceanic - Australian language (any),Enfield,3,1.01E-05,84
859,Other European Language (EU): Slovenian,Enfield,1,3.36E-06,85
860,Other European Language (non-national): Yiddish,Enfield,1,3.36E-06,86
861,English (English or Welsh if in Wales),Greenwich,200919,0.8313603,1
862,South Asian Language: Nepalese,Greenwich,5058,0.02092893,2
863,Other European Language (EU): Polish,Greenwich,2232,0.00923554,3
864,French,Greenwich,2151,0.00890038,4
865,Other European Language (EU): Lithuanian,Greenwich,1882,0.00778732,5
866,East Asian Language: All other Chinese,Greenwich,1773,0.0073363,6
867,South Asian Language: Panjabi,Greenwich,1714,0.00709217,7
868,African Language: Somali,Greenwich,1476,0.00610738,8
869,Turkish,Greenwich,1408,0.00582601,9
870,African Language: Yoruba,Greenwich,1380,0.00571015,10
871,Spanish,Greenwich,1277,0.00528396,11
872,South Asian Language: Tamil,Greenwich,1110,0.00459295,12
873,Portuguese,Greenwich,1090,0.00451019,13
874,South Asian Language: Gujarati,Greenwich,1052,0.00435295,14
875,East Asian Language: Vietnamese,Greenwich,917,0.00379435,15
876,Russian,Greenwich,895,0.00370332,16
877,South Asian Language: Urdu,Greenwich,847,0.00350471,17
878,Other European Language (EU): Romanian,Greenwich,839,0.0034716,18
879,Other European Language (EU): Italian,Greenwich,815,0.0033723,19
880,South Asian Language: Bengali (with Sylheti and Chatgaya),Greenwich,792,0.00327713,20
881,Other European Language (EU): Bulgarian,Greenwich,747,0.00309093,21
882,Other European Language (EU): German,Greenwich,720,0.00297921,22
883,Arabic,Greenwich,638,0.00263991,23
884,Other European Language (non EU): Albanian,Greenwich,630,0.00260681,24
885,East Asian Language: Cantonese Chinese,Greenwich,596,0.00246612,25
886,African Language: Igbo,Greenwich,563,0.00232957,26
887,Other European Language (EU): Hungarian,Greenwich,487,0.0020151,27
888,West Central Asian Language: Kurdish,Greenwich,390,0.00161374,28
889,South Asian Language: Hindi,Greenwich,352,0.0014565,29
890,African Language: Akan,Greenwich,343,0.00141926,30
891,African Language: African language (all other),Greenwich,300,0.00124134,31
892,East Asian Language: Tagalog-Filipino,Greenwich,284,0.00117513,32
893,Other European Language (EU): Greek,Greenwich,279,0.00115444,33
894,Other European Language (EU): Slovak,Greenwich,277,0.00114617,34
895,West or Central Asian Language: Persian-Farsi,Greenwich,269,0.00111307,35
896,Other European Language (EU): Dutch,Greenwich,256,0.00105927,36
897,East Asian Language: Mandarin Chinese,Greenwich,240,9.93E-04,37
898,African Language: West African language (all other),Greenwich,237,9.81E-04,38
899,African Language: Any other Nigerian language,Greenwich,233,9.64E-04,39
900,Other European Language (EU): Latvian,Greenwich,230,9.52E-04,40
901,Other Languages: All other languages,Greenwich,230,9.52E-04,41
902,West-Central Asian Language: Pashto,Greenwich,202,8.36E-04,42
903,Other European Language (EU): Czech,Greenwich,201,8.32E-04,43
904,East Asian Language: Japanese,Greenwich,192,7.94E-04,44
905,African Language: Shona,Greenwich,192,7.94E-04,45
906,African Language: Swahili-Kiswahili,Greenwich,185,7.65E-04,46
907,East Asian Language: East Asian Language (all other),Greenwich,180,7.45E-04,47
908,South Asian Language: Sinhala,Greenwich,178,7.37E-04,48
909,Other European Language (EU): Swedish,Greenwich,171,7.08E-04,49
910,West or Central Asian Language: West or Central Asian Language (all other),Greenwich,162,6.70E-04,50
911,South Asian Language: South Asian Language (all other),Greenwich,162,6.70E-04,51
912,African Language: Afrikaans,Greenwich,162,6.70E-04,52
913,East Asian Language: Thai,Greenwich,148,6.12E-04,53
914,Other European Language (non EU): Ukrainian,Greenwich,135,5.59E-04,54
915,African Language: Luganda,Greenwich,135,5.59E-04,55
916,African Language: Tigrinya,Greenwich,122,5.05E-04,56
917,Sign Language: British sign language,Greenwich,111,4.59E-04,57
918,West Other European Language (non EU): Serbian-Croatian-Bosnianr Central Asian Language: West or Central Asian Language (all other),Greenwich,109,4.51E-04,58
919,Other European Language (EU): Finnish,Greenwich,85,3.52E-04,59
920,East Asian Language: Korean,Greenwich,83,3.43E-04,60
921,Other European Language (EU): Danish,Greenwich,82,3.39E-04,61
922,Other European Language (non EU): Northern European Language (non EU),Greenwich,73,3.02E-04,62
923,East Asian Language: Malay,Greenwich,67,2.77E-04,63
924,African Language: Lingala,Greenwich,67,2.77E-04,64
925,South Asian Language: Malayalam,Greenwich,62,2.57E-04,65
926,Other UK language: Total,Greenwich,54,2.23E-04,66
927,South Asian Language: Telugu,Greenwich,48,1.99E-04,67
928,African Language: Amharic,Greenwich,44,1.82E-04,68
929,African Language: Krio,Greenwich,43,1.78E-04,69
930,Other European Language (non-national): Romani language (any),Greenwich,40,1.66E-04,70
931,Other European Language (EU): Estonian,Greenwich,38,1.57E-04,71
932,Welsh Cymraeg (in England only),Greenwich,33,1.37E-04,72
933,South Asian Language: Marathi,Greenwich,31,1.28E-04,73
934,Other European Language (non EU): Any other Eastern European Language (non EU),Greenwich,27,1.12E-04,74
935,Oceanic - Australian language (any),Greenwich,26,1.08E-04,75
936,Other European Language (EU): Maltese,Greenwich,23,9.52E-05,76
937,Sign Language: Sign Language (all other),Greenwich,19,7.86E-05,77
938,Other European Language (EU): Any other European Language (EU),Greenwich,18,7.45E-05,78
939,West or Central Asian Language: Hebrew,Greenwich,15,6.21E-05,79
940,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),Greenwich,7,2.90E-05,80
941,Sign Language: Any Sign Communication System,Greenwich,5,2.07E-05,81
942,North-South American language (any),Greenwich,4,1.66E-05,82
943,Caribbean Creole: Caribbean Creole (English-based),Greenwich,3,1.24E-05,83
944,Other European Language (EU): Slovenian,Greenwich,2,8.28E-06,84
945,Caribbean Creole: Caribbean Creole (all other),Greenwich,1,4.14E-06,85
946,Other European Language (non-national): Yiddish,Greenwich,0,0,86
947,English (English or Welsh if in Wales),Hackney,177886,0.75912278,1
948,Turkish,Hackney,10551,0.04502605,2
949,Other European Language (EU): Polish,Hackney,3944,0.01683089,3
950,Spanish,Hackney,3489,0.0148892,4
951,French,Hackney,3235,0.01380526,5
952,South Asian Language: Bengali (with Sylheti and Chatgaya),Hackney,3003,0.01281521,6
953,Other European Language (non-national): Yiddish,Hackney,2993,0.01277253,7
954,Portuguese,Hackney,2739,0.01168859,8
955,Other European Language (EU): Italian,Hackney,2046,0.00873124,9
956,South Asian Language: Gujarati,Hackney,1909,0.0081466,10
957,Other European Language (EU): German,Hackney,1705,0.00727603,11
958,Arabic,Hackney,1201,0.00512523,12
959,African Language: Somali,Hackney,1119,0.0047753,13
960,East Asian Language: Vietnamese,Hackney,1013,0.00432294,14
961,African Language: Akan,Hackney,947,0.00404129,15
962,West Central Asian Language: Kurdish,Hackney,946,0.00403702,16
963,East Asian Language: All other Chinese,Hackney,875,0.00373403,17
964,African Language: Yoruba,Hackney,791,0.00337557,18
965,South Asian Language: Panjabi,Hackney,741,0.00316219,19
966,South Asian Language: Urdu,Hackney,734,0.00313232,20
967,Other European Language (EU): Greek,Hackney,662,0.00282506,21
968,Other European Language (EU): Swedish,Hackney,662,0.00282506,22
969,West or Central Asian Language: Hebrew,Hackney,651,0.00277812,23
970,East Asian Language: Japanese,Hackney,540,0.00230443,24
971,Russian,Hackney,482,0.00205692,25
972,Other European Language (EU): Romanian,Hackney,408,0.00174113,26
973,Other European Language (non EU): Albanian,Hackney,407,0.00173686,27
974,East Asian Language: Cantonese Chinese,Hackney,405,0.00172832,28
975,Other European Language (EU): Lithuanian,Hackney,402,0.00171552,29
976,West or Central Asian Language: Persian-Farsi,Hackney,354,0.00151068,30
977,Other European Language (EU): Hungarian,Hackney,341,0.00145521,31
978,African Language: Tigrinya,Hackney,341,0.00145521,32
979,Other European Language (EU): Bulgarian,Hackney,335,0.0014296,33
980,African Language: Igbo,Hackney,332,0.0014168,34
981,African Language: Swahili-Kiswahili,Hackney,331,0.00141253,35
982,Other Languages: All other languages,Hackney,326,0.00139119,36
983,African Language: West African language (all other),Hackney,324,0.00138266,37
984,East Asian Language: Mandarin Chinese,Hackney,320,0.00136559,38
985,African Language: Lingala,Hackney,315,0.00134425,39
986,Other European Language (EU): Dutch,Hackney,310,0.00132292,40
987,East Asian Language: Tagalog-Filipino,Hackney,310,0.00132292,41
988,African Language: Amharic,Hackney,298,0.00127171,42
989,Other European Language (non EU): Northern European Language (non EU),Hackney,272,0.00116075,43
990,Other European Language (EU): Danish,Hackney,245,0.00104553,44
991,African Language: African language (all other),Hackney,227,9.69E-04,45
992,East Asian Language: Korean,Hackney,196,8.36E-04,46
993,West or Central Asian Language: West or Central Asian Language (all other),Hackney,189,8.07E-04,47
994,African Language: Any other Nigerian language,Hackney,169,7.21E-04,48
995,West-Central Asian Language: Pashto,Hackney,167,7.13E-04,49
996,Other European Language (EU): Slovak,Hackney,162,6.91E-04,50
997,West Other European Language (non EU): Serbian-Croatian-Bosnianr Central Asian Language: West or Central Asian Language (all other),Hackney,153,6.53E-04,51
998,Other European Language (EU): Czech,Hackney,143,6.10E-04,52
999,East Asian Language: Thai,Hackney,129,5.51E-04,53
1000,Other European Language (EU): Finnish,Hackney,117,4.99E-04,54
1001,Other European Language (EU): Any other European Language (EU),Hackney,107,4.57E-04,55
1002,Other European Language (EU): Latvian,Hackney,105,4.48E-04,56
1003,South Asian Language: Hindi,Hackney,95,4.05E-04,57
1004,African Language: Shona,Hackney,95,4.05E-04,58
1005,East Asian Language: East Asian Language (all other),Hackney,88,3.76E-04,59
1006,East Asian Language: Malay,Hackney,86,3.67E-04,60
1007,Sign Language: British sign language,Hackney,86,3.67E-04,61
1008,South Asian Language: Tamil,Hackney,84,3.58E-04,62
1009,African Language: Luganda,Hackney,68,2.90E-04,63
1010,Other European Language (non EU): Ukrainian,Hackney,65,2.77E-04,64
1011,Welsh Cymraeg (in England only),Hackney,56,2.39E-04,65
1012,Other UK language: Total,Hackney,55,2.35E-04,66
1013,South Asian Language: South Asian Language (all other),Hackney,55,2.35E-04,67
1014,African Language: Krio,Hackney,55,2.35E-04,68
1015,African Language: Afrikaans,Hackney,52,2.22E-04,69
1016,Other European Language (EU): Maltese,Hackney,43,1.84E-04,70
1017,South Asian Language: Nepalese,Hackney,38,1.62E-04,71
1018,South Asian Language: Malayalam,Hackney,36,1.54E-04,72
1019,Other European Language (EU): Estonian,Hackney,33,1.41E-04,73
1020,Other European Language (EU): Slovenian,Hackney,27,1.15E-04,74
1021,Other European Language (non EU): Any other Eastern European Language (non EU),Hackney,22,9.39E-05,75
1022,Sign Language: Sign Language (all other),Hackney,20,8.54E-05,76
1023,Sign Language: Any Sign Communication System,Hackney,16,6.83E-05,77
1024,Caribbean Creole: Caribbean Creole (English-based),Hackney,14,5.97E-05,78
1025,South Asian Language: Sinhala,Hackney,8,3.41E-05,79
1026,North-South American language (any),Hackney,8,3.41E-05,80
1027,South Asian Language: Marathi,Hackney,6,2.56E-05,81
1028,Oceanic - Australian language (any),Hackney,6,2.56E-05,82
1029,Other European Language (non-national): Romani language (any),Hackney,4,1.71E-05,83
1030,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),Hackney,3,1.28E-05,84
1031,South Asian Language: Telugu,Hackney,3,1.28E-05,85
1032,Caribbean Creole: Caribbean Creole (all other),Hackney,0,0,86
1033,English (English or Welsh if in Wales),Hammersmith and Fulham,135236,0.77312615,1
1034,French,Hammersmith and Fulham,5406,0.03090538,2
1035,Arabic,Hammersmith and Fulham,3379,0.01931729,3
1036,Spanish,Hammersmith and Fulham,3346,0.01912864,4
1037,Other European Language (EU): Polish,Hammersmith and Fulham,2719,0.01554416,5
1038,Other European Language (EU): Italian,Hammersmith and Fulham,2473,0.01413781,6
1039,African Language: Somali,Hammersmith and Fulham,2296,0.01312593,7
1040,Portuguese,Hammersmith and Fulham,2227,0.01273146,8
1041,West or Central Asian Language: Persian-Farsi,Hammersmith and Fulham,1460,0.00834663,9
1042,East Asian Language: Tagalog-Filipino,Hammersmith and Fulham,1325,0.00757485,10
1043,Other European Language (EU): German,Hammersmith and Fulham,1149,0.00656868,11
1044,Russian,Hammersmith and Fulham,753,0.0043048,12
1045,East Asian Language: All other Chinese,Hammersmith and Fulham,720,0.00411614,13
1046,Other European Language (non EU): Albanian,Hammersmith and Fulham,700,0.00400181,14
1047,African Language: Amharic,Hammersmith and Fulham,647,0.00369881,15
1048,Other European Language (EU): Greek,Hammersmith and Fulham,628,0.00359019,16
1049,Other European Language (EU): Swedish,Hammersmith and Fulham,576,0.00329292,17
1050,Turkish,Hammersmith and Fulham,559,0.00319573,18
1051,South Asian Language: Bengali (with Sylheti and Chatgaya),Hammersmith and Fulham,488,0.00278983,19
1052,West Other European Language (non EU): Serbian-Croatian-Bosnianr Central Asian Language: West or Central Asian Language (all other),Hammersmith and Fulham,486,0.0027784,20
1053,African Language: Tigrinya,Hammersmith and Fulham,479,0.00273838,21
1054,Other European Language (EU): Dutch,Hammersmith and Fulham,473,0.00270408,22
1055,South Asian Language: Urdu,Hammersmith and Fulham,450,0.00257259,23
1056,East Asian Language: Thai,Hammersmith and Fulham,448,0.00256116,24
1057,East Asian Language: Japanese,Hammersmith and Fulham,440,0.00251542,25
1058,Other European Language (EU): Hungarian,Hammersmith and Fulham,439,0.0025097,26
1059,West or Central Asian Language: West or Central Asian Language (all other),Hammersmith and Fulham,339,0.00193802,27
1060,West Central Asian Language: Kurdish,Hammersmith and Fulham,335,0.00191515,28
1061,Other European Language (EU): Romanian,Hammersmith and Fulham,323,0.00184655,29
1062,Other European Language (EU): Lithuanian,Hammersmith and Fulham,285,0.00162931,30
1063,East Asian Language: East Asian Language (all other),Hammersmith and Fulham,279,0.00159501,31
1064,Other European Language (EU): Bulgarian,Hammersmith and Fulham,265,0.00151497,32
1065,Other European Language (EU): Slovak,Hammersmith and Fulham,245,0.00140063,33
1066,South Asian Language: Gujarati,Hammersmith and Fulham,222,0.00126914,34
1067,East Asian Language: Cantonese Chinese,Hammersmith and Fulham,172,9.83E-04,35
1068,West-Central Asian Language: Pashto,Hammersmith and Fulham,170,9.72E-04,36
1069,Other European Language (EU): Czech,Hammersmith and Fulham,164,9.38E-04,37
1070,Other European Language (EU): Danish,Hammersmith and Fulham,163,9.32E-04,38
1071,Other European Language (non EU): Northern European Language (non EU),Hammersmith and Fulham,146,8.35E-04,39
1072,Other Languages: All other languages,Hammersmith and Fulham,138,7.89E-04,40
1073,South Asian Language: Hindi,Hammersmith and Fulham,133,7.60E-04,41
1074,East Asian Language: Mandarin Chinese,Hammersmith and Fulham,131,7.49E-04,42
1075,South Asian Language: Panjabi,Hammersmith and Fulham,124,7.09E-04,43
1076,East Asian Language: Malay,Hammersmith and Fulham,124,7.09E-04,44
1077,East Asian Language: Korean,Hammersmith and Fulham,120,6.86E-04,45
1078,African Language: African language (all other),Hammersmith and Fulham,120,6.86E-04,46
1079,Other European Language (EU): Latvian,Hammersmith and Fulham,110,6.29E-04,47
1080,Other European Language (EU): Finnish,Hammersmith and Fulham,107,6.12E-04,48
1081,South Asian Language: Tamil,Hammersmith and Fulham,89,5.09E-04,49
1082,Other European Language (non EU): Ukrainian,Hammersmith and Fulham,76,4.34E-04,50
1083,South Asian Language: South Asian Language (all other),Hammersmith and Fulham,75,4.29E-04,51
1084,Other European Language (EU): Any other European Language (EU),Hammersmith and Fulham,71,4.06E-04,52
1085,East Asian Language: Vietnamese,Hammersmith and Fulham,68,3.89E-04,53
1086,Other UK language: Total,Hammersmith and Fulham,67,3.83E-04,54
1087,South Asian Language: Nepalese,Hammersmith and Fulham,64,3.66E-04,55
1088,African Language: Akan,Hammersmith and Fulham,63,3.60E-04,56
1089,African Language: Yoruba,Hammersmith and Fulham,61,3.49E-04,57
1090,African Language: Any other Nigerian language,Hammersmith and Fulham,55,3.14E-04,58
1091,Sign Language: British sign language,Hammersmith and Fulham,55,3.14E-04,59
1092,West or Central Asian Language: Hebrew,Hammersmith and Fulham,52,2.97E-04,60
1093,Other European Language (non EU): Any other Eastern European Language (non EU),Hammersmith and Fulham,51,2.92E-04,61
1094,African Language: Afrikaans,Hammersmith and Fulham,51,2.92E-04,62
1095,African Language: West African language (all other),Hammersmith and Fulham,51,2.92E-04,63
1096,South Asian Language: Sinhala,Hammersmith and Fulham,48,2.74E-04,64
1097,African Language: Swahili-Kiswahili,Hammersmith and Fulham,46,2.63E-04,65
1098,South Asian Language: Malayalam,Hammersmith and Fulham,45,2.57E-04,66
1099,African Language: Igbo,Hammersmith and Fulham,44,2.52E-04,67
1100,Welsh Cymraeg (in England only),Hammersmith and Fulham,41,2.34E-04,68
1101,Other European Language (EU): Estonian,Hammersmith and Fulham,41,2.34E-04,69
1102,African Language: Shona,Hammersmith and Fulham,37,2.12E-04,70
1103,African Language: Lingala,Hammersmith and Fulham,31,1.77E-04,71
1104,Other European Language (EU): Maltese,Hammersmith and Fulham,21,1.20E-04,72
1105,South Asian Language: Marathi,Hammersmith and Fulham,17,9.72E-05,73
1106,Other European Language (EU): Slovenian,Hammersmith and Fulham,15,8.58E-05,74
1107,Other European Language (non-national): Romani language (any),Hammersmith and Fulham,13,7.43E-05,75
1108,African Language: Krio,Hammersmith and Fulham,12,6.86E-05,76
1109,African Language: Luganda,Hammersmith and Fulham,12,6.86E-05,77
1110,Oceanic - Australian language (any),Hammersmith and Fulham,7,4.00E-05,78
1111,South Asian Language: Telugu,Hammersmith and Fulham,6,3.43E-05,79
1112,Sign Language: Sign Language (all other),Hammersmith and Fulham,6,3.43E-05,80
1113,Sign Language: Any Sign Communication System,Hammersmith and Fulham,6,3.43E-05,81
1114,North-South American language (any),Hammersmith and Fulham,3,1.72E-05,82
1115,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),Hammersmith and Fulham,2,1.14E-05,83
1116,Caribbean Creole: Caribbean Creole (English-based),Hammersmith and Fulham,2,1.14E-05,84
1117,Other European Language (non-national): Yiddish,Hammersmith and Fulham,0,0,85
1118,Caribbean Creole: Caribbean Creole (all other),Hammersmith and Fulham,0,0,86
1119,English (English or Welsh if in Wales),Haringey,171334,0.70285105,1
1120,Turkish,Haringey,11994,0.04920212,2
1121,Other European Language (EU): Polish,Haringey,10504,0.0430898,3
1122,Spanish,Haringey,3863,0.0158469,4
1123,Portuguese,Haringey,3093,0.01268819,5
1124,Other European Language (EU): Greek,Haringey,3015,0.01236822,6
1125,African Language: Somali,Haringey,2948,0.01209337,7
