id,lang,bName,sNum,sProportion,langRank
91,Other European Language (EU): Romanian,Barnet,3995,0.01173512,5
92,Arabic,Barnet,3305,0.00970828,6
93,Portuguese,Barnet,2839,0.00833943,7
94,East Asian Language: All other Chinese,Barnet,2503,0.00735244,8
95,East Asian Language: Japanese,Barnet,2449,0.00719382,9
96,French,Barnet,2177,0.00639483,10
97,Spanish,Barnet,2164,0.00635665,11
98,Other European Language (EU): Greek,Barnet,2103,0.00617746,12
99,Turkish,Barnet,2025,0.00594834,13
100,Other European Language (EU): Italian,Barnet,1897,0.00557235,14
101,West-Central Asian Language: Pashto,Barnet,1781,0.0052316,15
102,African Language: Somali,Barnet,1772,0.00520517,16
103,East Asian Language: Tagalog-Filipino,Barnet,1766,0.00518754,17
104,Other European Language (non EU): Albanian,Barnet,1757,0.0051611,18
105,South Asian Language: Urdu,Barnet,1750,0.00514054,19
106,Other European Language (EU): Hungarian,Barnet,1715,0.00503773,20
107,West or Central Asian Language: Hebrew,Barnet,1542,0.00452955,21
108,Other European Language (EU): Slovak,Barnet,1400,0.00411243,22
109,South Asian Language: Tamil,Barnet,1324,0.00388919,23
110,Russian,Barnet,1312,0.00385394,24
111,Other European Language (EU): Bulgarian,Barnet,1190,0.00349557,25
112,South Asian Language: Bengali (with Sylheti and Chatgaya),Barnet,1062,0.00311957,26
113,Other European Language (EU): German,Barnet,953,0.00279939,27
114,Other European Language (EU): Lithuanian,Barnet,854,0.00250858,28
115,South Asian Language: Hindi,Barnet,845,0.00248215,29
116,South Asian Language: Nepalese,Barnet,811,0.00238227,30
117,East Asian Language: Cantonese Chinese,Barnet,802,0.00235584,31
118,South Asian Language: Panjabi,Barnet,577,0.00169491,32
119,Other European Language (EU): Czech,Barnet,570,0.00167435,33
120,West Central Asian Language: Kurdish,Barnet,520,0.00152748,34
121,South Asian Language: Sinhala,Barnet,497,0.00145991,35
122,East Asian Language: Mandarin Chinese,Barnet,466,0.00136885,36
123,West Other European Language (non EU): Serbian-Croatian-Bosnianr Central Asian Language: West or Central Asian Language (all other),Barnet,438,0.0012866,37
124,East Asian Language: East Asian Language (all other),Barnet,414,0.00121611,38
125,West or Central Asian Language: West or Central Asian Language (all other),Barnet,410,0.00120436,39
126,African Language: African language (all other),Barnet,397,0.00116617,40
127,African Language: Swahili-Kiswahili,Barnet,388,0.00113973,41
128,South Asian Language: South Asian Language (all other),Barnet,368,0.00108098,42
129,East Asian Language: Korean,Barnet,332,9.75E-04,43
130,Other European Language (EU): Dutch,Barnet,317,9.31E-04,44
131,Other Languages: All other languages,Barnet,286,8.40E-04,45
132,African Language: Akan,Barnet,284,8.34E-04,46
133,East Asian Language: Malay,Barnet,278,8.17E-04,47
134,Other European Language (EU): Swedish,Barnet,254,7.46E-04,48
135,East Asian Language: Thai,Barnet,218,6.40E-04,49
136,South Asian Language: Malayalam,Barnet,179,5.26E-04,50
137,African Language: Igbo,Barnet,179,5.26E-04,51
138,African Language: Yoruba,Barnet,170,4.99E-04,52
139,Other European Language (non EU): Northern European Language (non EU),Barnet,162,4.76E-04,53
140,Other European Language (EU): Danish,Barnet,155,4.55E-04,54
141,Other European Language (EU): Latvian,Barnet,147,4.32E-04,55
142,African Language: Any other Nigerian language,Barnet,138,4.05E-04,56
143,South Asian Language: Marathi,Barnet,134,3.94E-04,57
144,African Language: West African language (all other),Barnet,101,2.97E-04,58
145,Sign Language: British sign language,Barnet,92,2.70E-04,59
146,Other European Language (non EU): Ukrainian,Barnet,90,2.64E-04,60
147,African Language: Tigrinya,Barnet,90,2.64E-04,61
148,African Language: Shona,Barnet,90,2.64E-04,62
149,Other European Language (EU): Finnish,Barnet,88,2.59E-04,63
150,East Asian Language: Vietnamese,Barnet,86,2.53E-04,64
151,South Asian Language: Telugu,Barnet,83,2.44E-04,65
152,African Language: Lingala,Barnet,83,2.44E-04,66
153,African Language: Afrikaans,Barnet,81,2.38E-04,67
154,African Language: Amharic,Barnet,78,2.29E-04,68
155,Other European Language (non EU): Any other Eastern European Language (non EU),Barnet,69,2.03E-04,69
156,African Language: Luganda,Barnet,59,1.73E-04,70
157,Other European Language (non-national): Yiddish,Barnet,47,1.38E-04,71
158,Welsh Cymraeg (in England only),Barnet,39,1.15E-04,72
159,Other European Language (EU): Any other European Language (EU),Barnet,38,1.12E-04,73
160,Sign Language: Any Sign Communication System,Barnet,35,1.03E-04,74
161,Other European Language (EU): Estonian,Barnet,34,9.99E-05,75
162,North-South American language (any),Barnet,33,9.69E-05,76
163,Other UK language: Total,Barnet,30,8.81E-05,77
164,Other European Language (EU): Maltese,Barnet,30,8.81E-05,78
165,Other European Language (non-national): Romani language (any),Barnet,26,7.64E-05,79
166,African Language: Krio,Barnet,25,7.34E-05,80
167,Other European Language (EU): Slovenian,Barnet,13,3.82E-05,81
168,Sign Language: Sign Language (all other),Barnet,11,3.23E-05,82
169,Oceanic - Australian language (any),Barnet,8,2.35E-05,83
170,Caribbean Creole: Caribbean Creole (all other),Barnet,1,2.94E-06,84
171,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),Barnet,0,0,85
172,Caribbean Creole: Caribbean Creole (English-based),Barnet,0,0,86
173,English (English or Welsh if in Wales),Bexley,209507,0.61541693,1
174,South Asian Language: Panjabi,Bexley,1655,0.00486148,2
175,Other European Language (EU): Polish,Bexley,918,0.00269658,3
176,South Asian Language: Tamil,Bexley,736,0.00216197,4
177,Turkish,Bexley,686,0.00201509,5
178,Other European Language (EU): Lithuanian,Bexley,567,0.00166554,6
179,African Language: Yoruba,Bexley,554,0.00162735,7
180,East Asian Language: All other Chinese,Bexley,548,0.00160972,8
181,South Asian Language: Gujarati,Bexley,533,0.00156566,9
182,French,Bexley,499,0.00146579,10
183,East Asian Language: Cantonese Chinese,Bexley,400,0.00117498,11
184,South Asian Language: Bengali (with Sylheti and Chatgaya),Bexley,377,0.00110742,12
185,Portuguese,Bexley,315,9.25E-04,13
186,Spanish,Bexley,292,8.58E-04,14
187,Russian,Bexley,267,7.84E-04,15
188,Other European Language (EU): Bulgarian,Bexley,262,7.70E-04,16
189,Other European Language (non EU): Albanian,Bexley,252,7.40E-04,17
190,South Asian Language: Urdu,Bexley,210,6.17E-04,18
191,Other European Language (EU): Italian,Bexley,205,6.02E-04,19
192,Arabic,Bexley,198,5.82E-04,20
193,South Asian Language: Nepalese,Bexley,196,5.76E-04,21
194,Other European Language (EU): Romanian,Bexley,188,5.52E-04,22
195,East Asian Language: Vietnamese,Bexley,188,5.52E-04,23
196,African Language: Igbo,Bexley,171,5.02E-04,24
197,East Asian Language: Tagalog-Filipino,Bexley,168,4.93E-04,25
198,West or Central Asian Language: Persian-Farsi,Bexley,164,4.82E-04,26
199,African Language: Shona,Bexley,163,4.79E-04,27
200,South Asian Language: Hindi,Bexley,161,4.73E-04,28
201,African Language: Akan,Bexley,160,4.70E-04,29
202,East Asian Language: Thai,Bexley,159,4.67E-04,30
203,Other European Language (EU): German,Bexley,146,4.29E-04,31
204,South Asian Language: Sinhala,Bexley,139,4.08E-04,32
205,African Language: African language (all other),Bexley,113,3.32E-04,33
206,Other European Language (EU): Slovak,Bexley,110,3.23E-04,34
207,Other European Language (EU): Greek,Bexley,104,3.06E-04,35
208,West Central Asian Language: Kurdish,Bexley,93,2.73E-04,36
209,Sign Language: British sign language,Bexley,91,2.67E-04,37
210,Other European Language (EU): Dutch,Bexley,88,2.59E-04,38
211,African Language: Any other Nigerian language,Bexley,84,2.47E-04,39
212,Other Languages: All other languages,Bexley,83,2.44E-04,40
213,East Asian Language: Mandarin Chinese,Bexley,80,2.35E-04,41
214,Other European Language (EU): Hungarian,Bexley,71,2.09E-04,42
215,South Asian Language: South Asian Language (all other),Bexley,67,1.97E-04,43
216,Other European Language (EU): Czech,Bexley,65,1.91E-04,44
217,Other European Language (EU): Latvian,Bexley,64,1.88E-04,45
218,African Language: Somali,Bexley,59,1.73E-04,46
219,African Language: West African language (all other),Bexley,59,1.73E-04,47
220,African Language: Afrikaans,Bexley,55,1.62E-04,48
221,Other European Language (non EU): Northern European Language (non EU),Bexley,48,1.41E-04,49
222,South Asian Language: Malayalam,Bexley,47,1.38E-04,50
223,African Language: Swahili-Kiswahili,Bexley,47,1.38E-04,51
224,West or Central Asian Language: West or Central Asian Language (all other),Bexley,44,1.29E-04,52
225,East Asian Language: Japanese,Bexley,43,1.26E-04,53
226,West-Central Asian Language: Pashto,Bexley,37,1.09E-04,54
227,West Other European Language (non EU): Serbian-Croatian-Bosnianr Central Asian Language: West or Central Asian Language (all other),Bexley,34,9.99E-05,55
228,African Language: Luganda,Bexley,32,9.40E-05,56
229,Other European Language (EU): Swedish,Bexley,31,9.11E-05,57
230,East Asian Language: East Asian Language (all other),Bexley,28,8.23E-05,58
231,Other European Language (EU): Danish,Bexley,26,7.64E-05,59
232,Other European Language (non EU): Ukrainian,Bexley,26,7.64E-05,60
233,African Language: Krio,Bexley,26,7.64E-05,61
234,South Asian Language: Telugu,Bexley,25,7.34E-05,62
235,Other European Language (EU): Finnish,Bexley,24,7.05E-05,63
236,Other European Language (EU): Maltese,Bexley,20,5.88E-05,64
237,East Asian Language: Malay,Bexley,19,5.58E-05,65
238,Sign Language: Sign Language (all other),Bexley,14,4.11E-05,66
239,Welsh Cymraeg (in England only),Bexley,12,3.53E-05,67
240,Other European Language (EU): Estonian,Bexley,11,3.23E-05,68
241,South Asian Language: Marathi,Bexley,11,3.23E-05,69
242,African Language: Amharic,Bexley,11,3.23E-05,70
243,Sign Language: Any Sign Communication System,Bexley,11,3.23E-05,71
244,East Asian Language: Korean,Bexley,10,2.94E-05,72
245,African Language: Lingala,Bexley,9,2.64E-05,73
246,Other European Language (EU): Any other European Language (EU),Bexley,8,2.35E-05,74
247,Other UK language: Total,Bexley,5,1.47E-05,75
248,West or Central Asian Language: Hebrew,Bexley,5,1.47E-05,76
249,African Language: Tigrinya,Bexley,5,1.47E-05,77
250,Other European Language (non-national): Romani language (any),Bexley,4,1.18E-05,78
251,North-South American language (any),Bexley,4,1.18E-05,79
252,Other European Language (non EU): Any other Eastern European Language (non EU),Bexley,3,8.81E-06,80
253,Other European Language (EU): Slovenian,Bexley,1,2.94E-06,81
254,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),Bexley,1,2.94E-06,82
255,Oceanic - Australian language (any),Bexley,1,2.94E-06,83
256,Caribbean Creole: Caribbean Creole (all other),Bexley,1,2.94E-06,84
257,Other European Language (non-national): Yiddish,Bexley,0,0,85
258,Caribbean Creole: Caribbean Creole (English-based),Bexley,0,0,86
259,English (English or Welsh if in Wales),Brent,186900,0.6284888,1
260,South Asian Language: Gujarati,Brent,23500,0.07902347,2
261,Other European Language (EU): Polish,Brent,10153,0.0341415,3
262,Arabic,Brent,7892,0.02653844,4
263,Portuguese,Brent,6442,0.02166252,5
264,South Asian Language: Tamil,Brent,6141,0.02065035,6
265,African Language: Somali,Brent,6079,0.02044186,7
266,Other European Language (EU): Romanian,Brent,5722,0.01924137,8
267,South Asian Language: Urdu,Brent,4571,0.01537091,9
268,West or Central Asian Language: Persian-Farsi,Brent,3341,0.01123478,10
269,South Asian Language: Nepalese,Brent,2342,0.00787545,11
270,East Asian Language: Tagalog-Filipino,Brent,2324,0.00781492,12
271,French,Brent,2229,0.00749546,13
272,Spanish,Brent,2212,0.00743829,14
273,South Asian Language: Hindi,Brent,1917,0.0064463,15
274,Other European Language (EU): Italian,Brent,1895,0.00637232,16
275,West-Central Asian Language: Pashto,Brent,1802,0.00605959,17
276,South Asian Language: Panjabi,Brent,1530,0.00514493,18
277,Other European Language (EU): Hungarian,Brent,1418,0.00476831,19
278,South Asian Language: Sinhala,Brent,1087,0.00365526,20
279,Other European Language (non EU): Albanian,Brent,1056,0.00355101,21
280,Other European Language (EU): Bulgarian,Brent,939,0.00315758,22
281,Other European Language (EU): Lithuanian,Brent,919,0.00309032,23
282,East Asian Language: All other Chinese,Brent,907,0.00304997,24
283,South Asian Language: Bengali (with Sylheti and Chatgaya),Brent,836,0.00281122,25
284,South Asian Language: South Asian Language (all other),Brent,754,0.00253548,26
285,Other European Language (EU): Greek,Brent,734,0.00246822,27
286,Other European Language (EU): German,Brent,723,0.00243123,28
287,West Central Asian Language: Kurdish,Brent,621,0.00208824,29
288,Russian,Brent,577,0.00194028,30
289,African Language: Tigrinya,Brent,561,0.00188648,31
290,African Language: Akan,Brent,554,0.00186294,32
291,East Asian Language: East Asian Language (all other),Brent,524,0.00176206,33
292,Other European Language (EU): Slovak,Brent,488,0.001641,34
293,Other European Language (EU): Dutch,Brent,368,0.00123747,35
294,South Asian Language: Telugu,Brent,368,0.00123747,36
295,East Asian Language: Japanese,Brent,364,0.00122402,37
296,West or Central Asian Language: West or Central Asian Language (all other),Brent,358,0.00120385,38
297,Turkish,Brent,334,0.00112314,39
298,South Asian Language: Malayalam,Brent,326,0.00109624,40
299,Other Languages: All other languages,Brent,306,0.00102899,41
300,Other European Language (EU): Swedish,Brent,303,0.0010189,42
301,African Language: African language (all other),Brent,300,0.00100881,43
302,East Asian Language: Cantonese Chinese,Brent,298,0.00100208,44
303,West Other European Language (non EU): Serbian-Croatian-Bosnianr Central Asian Language: West or Central Asian Language (all other),Brent,289,9.72E-04,45
304,South Asian Language: Marathi,Brent,280,9.42E-04,46
305,African Language: Amharic,Brent,276,9.28E-04,47
306,Other European Language (EU): Czech,Brent,260,8.74E-04,48
307,African Language: Swahili-Kiswahili,Brent,236,7.94E-04,49
308,African Language: West African language (all other),Brent,216,7.26E-04,50
309,East Asian Language: Thai,Brent,191,6.42E-04,51
310,East Asian Language: Mandarin Chinese,Brent,187,6.29E-04,52
311,East Asian Language: Malay,Brent,185,6.22E-04,53
312,African Language: Yoruba,Brent,183,6.15E-04,54
313,Other European Language (EU): Latvian,Brent,172,5.78E-04,55
314,African Language: Any other Nigerian language,Brent,171,5.75E-04,56
315,African Language: Igbo,Brent,168,5.65E-04,57
316,Other European Language (EU): Danish,Brent,133,4.47E-04,58
317,Other European Language (non EU): Ukrainian,Brent,111,3.73E-04,59
318,African Language: Lingala,Brent,108,3.63E-04,60
319,Sign Language: British sign language,Brent,108,3.63E-04,61
320,Other European Language (non EU): Northern European Language (non EU),Brent,107,3.60E-04,62
321,West or Central Asian Language: Hebrew,Brent,98,3.30E-04,63
322,North-South American language (any),Brent,96,3.23E-04,64
323,Other UK language: Total,Brent,83,2.79E-04,65
324,East Asian Language: Korean,Brent,72,2.42E-04,66
325,Other European Language (EU): Finnish,Brent,61,2.05E-04,67
326,Welsh Cymraeg (in England only),Brent,56,1.88E-04,68
327,Other European Language (EU): Any other European Language (EU),Brent,56,1.88E-04,69
328,East Asian Language: Vietnamese,Brent,53,1.78E-04,70
329,African Language: Afrikaans,Brent,52,1.75E-04,71
330,African Language: Luganda,Brent,46,1.55E-04,72
331,African Language: Shona,Brent,38,1.28E-04,73
332,Sign Language: Sign Language (all other),Brent,35,1.18E-04,74
333,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),Brent,34,1.14E-04,75
334,Other European Language (EU): Estonian,Brent,32,1.08E-04,76
335,Other European Language (non EU): Any other Eastern European Language (non EU),Brent,32,1.08E-04,77
336,African Language: Krio,Brent,32,1.08E-04,78
337,Other European Language (non-national): Romani language (any),Brent,24,8.07E-05,79
338,Sign Language: Any Sign Communication System,Brent,19,6.39E-05,80
339,Other European Language (EU): Maltese,Brent,18,6.05E-05,81
340,Other European Language (EU): Slovenian,Brent,17,5.72E-05,82
341,Oceanic - Australian language (any),Brent,15,5.04E-05,83
342,Caribbean Creole: Caribbean Creole (English-based),Brent,8,2.69E-05,84
