bLabel,bName,bPopulation,EnglishWelsh,French,Portuguese,Spanish,Italian,German,Polish,Slovak,Czech,Romanian,Lithuanian,Latvian,Hungarian,Bulgarian,Greek,Dutch,Swedish,Danish,Finnish,Estonian,Slovenian,Maltese,OtherEU,Albanian,SerbianCroatianBosnian,Ukrainian,OtherNonEU,Romani,Yiddish,Russian,Turkish,Arabic,Hebrew,Kurdish,PersianFarsi,Pashto,OtherSouthAsian,Urdu,Hindi,Panjabi,PakistaniPahari,Bengali,Gujarati,Marathi,Telugu,Tamil,Malayalam,Sinhala,Nepalese,OtherSouthAsian,MandarinChinese,CantoneseChinese,otherChinese,Japanese,Korean,Vietnamese,Thai,Malay,TagalogFilipino,OtherEastAsian,OtherWhatever,NorthSouthAmerican,Amharic,Tigrinya,Somali,Krio,Akan,Yoruba,Igbo,SwahiliKiswahili,Luganda,Lingala,Shona,Afrikaans,OtherNigerian,OtherWestAfrican,OtherAfrican
Islington,Islington,198429,159142,3143,1655,3435,2464,1549,1456,182,169,256,187,56,333,265,1760,402,520,168,129,33,20,41,104,742,173,42,317,0,7,660,4194,1439,105,543,570,93,204,228,139,81,0,2315,256,13,5,111,16,25,63,69,221,524,1323,557,221,212,213,98,406,68,3,2,468,616,2197,8,176,167,111,73,26,146,30,55,30,56,219
Lambeth,Lambeth,290080,231479,5098,9897,7152,3110,1408,6451,394,300,538,487,143,624,579,575,380,399,144,116,64,31,104,89,488,244,91,164,5,1,642,699,1485,50,266,351,231,116,1001,216,236,4,996,720,16,15,189,22,50,93,145,199,688,1029,299,237,372,177,42,775,138,1,5,624,1107,2354,63,1039,711,219,111,105,220,57,111,225,275,309
Lewisham,Lewisham,262256,219115,3929,1966,2477,1543,952,4088,245,204,658,1179,210,479,718,411,321,299,120,112,54,7,29,44,1040,141,108,144,3,0,940,2227,964,38,308,711,330,156,518,224,210,26,630,356,20,115,3338,136,149,173,103,432,698,1791,431,137,990,192,65,280,102,6,3,95,103,878,82,535,766,431,150,150,124,178,162,319,222,227
Merton,Merton,190500,150411,1536,1625,1396,969,835,6604,363,183,581,566,59,390,885,247,207,197,152,68,41,13,52,17,249,134,85,295,1,0,646,446,872,19,167,503,202,90,3363,228,388,0,970,1313,50,52,5988,178,263,407,175,103,211,634,544,918,82,178,55,639,112,3,5,20,37,409,13,627,98,73,37,105,40,86,442,43,92,124
Newham,Newham,292396,171429,2532,4061,2211,875,510,5966,589,214,4555,7833,590,882,2022,283,244,116,56,45,46,6,42,24,703,105,246,65,55,0,1774,811,1690,5,104,739,1279,216,12802,2223,5224,53,21635,9735,129,1266,6818,2587,415,915,516,179,386,1342,95,52,382,178,83,2632,312,3,55,217,187,3082,40,1210,673,372,919,289,267,134,122,304,492,398
Redbridge,Redbridge,265968,200637,1230,1042,629,469,318,2293,138,119,1783,2668,148,159,570,326,89,72,36,29,12,4,12,5,749,100,84,46,20,3,784,1124,845,51,178,763,695,71,10093,1882,8261,35,6633,6141,209,580,6895,564,505,140,387,89,350,575,101,16,64,148,37,323,80,5,25,19,30,946,13,196,130,108,673,77,85,101,224,62,124,205
Southwark,Southwark,275241,221428,4404,3653,6429,2527,1551,3171,310,240,569,655,183,547,539,919,412,430,190,162,63,34,38,96,514,239,103,204,2,0,977,1961,1870,43,429,513,256,179,493,369,126,4,1957,358,39,53,181,98,50,64,144,495,830,2749,453,337,937,253,77,803,208,5,1,474,419,1359,285,1023,1715,379,120,116,91,112,382,456,513,294
Sutton,Sutton,182380,164133,543,812,535,374,252,1921,102,107,287,271,23,148,493,119,82,50,31,29,16,8,24,4,176,70,43,54,0,0,313,397,593,5,164,453,88,90,961,215,144,1,521,738,57,66,2715,234,199,231,97,93,213,567,155,511,27,124,26,594,51,2,6,10,15,50,10,110,67,16,19,66,20,134,114,19,37,128
Wandsworth,Wandsworth,292980,242062,4181,3009,3400,2897,1645,6191,542,368,346,456,157,745,642,510,502,579,213,116,67,24,55,74,353,342,82,359,3,2,957,727,1550,40,182,739,354,130,4716,269,549,7,656,1459,42,33,1166,145,89,112,210,133,282,766,547,224,145,426,61,1404,127,6,6,182,251,2343,11,370,132,100,73,121,39,28,300,65,137,210
Westminster,Westminster,211367,146293,6350,3575,4745,3745,2278,1315,195,155,338,262,111,308,398,2304,804,1085,342,196,47,49,28,119,1325,552,96,441,1,6,2158,834,11971,271,2146,2065,176,478,470,384,60,1,2977,220,23,22,129,63,77,76,135,276,546,1549,1598,383,89,357,384,1238,254,29,3,388,396,752,4,38,51,39,47,16,61,12,69,65,42,176
