languageID,language,borough,speakersNum,speakersProportion,languageRank
15,Lithuanian,Havering,980,0.0042775,2
15,Lithuanian,Lewisham,1179,0.00449561,10
15,Lithuanian,Newham,7833,0.02678901,5
15,Lithuanian,Redbridge,2668,0.01003128,7
15,Lithuanian,Waltham Forest,3171,0.01292071,6
16,Malayalam,Croydon,1428,0.0041218,9
17,Nepalese,Greenwich,5058,0.02092893,2
17,Nepalese,Hillingdon,1515,0.00578269,10
17,Nepalese,Hounslow,2287,0.00946116,9
18,Other Chinese,Barnet,2503,0.00735244,8
18,Other Chinese,Bexley,548,0.00160972,8
18,Other Chinese,Bromley,668,0.0022469,8
18,Other Chinese,City of London,48,0.00665557,8
18,Other Chinese,Greenwich,1773,0.0073363,6
18,Other Chinese,Lewisham,1791,0.00682921,8
18,Other Chinese,Southwark,2749,0.00998761,6
18,Other Chinese,Sutton,567,0.00310889,9
18,Other Chinese,Tower Hamlets,2790,0.01151142,5
19,Panjabi,Barking and Dagenham,1657,0.00948662,6
19,Panjabi,Bexley,1655,0.00486148,2
19,Panjabi,Ealing,16328,0.05057535,3
19,Panjabi,Greenwich,1714,0.00709217,7
19,Panjabi,Havering,595,0.00259705,4
19,Panjabi,Hillingdon,8837,0.03373042,2
19,Panjabi,Hounslow,11616,0.04805461,2
19,Panjabi,Newham,5224,0.01786618,8
19,Panjabi,Redbridge,8261,0.03106013,3
19,Panjabi,Richmond upon Thames,653,0.00366194,9
19,Panjabi,Waltham Forest,2971,0.01210578,7
20,Persian-Farsi,Barnet,6639,0.01950175,4
20,Persian-Farsi,Brent,3341,0.01123478,10
20,Persian-Farsi,Ealing,4200,0.01300934,9
20,Persian-Farsi,Hammersmith and Fulham,1460,0.00834663,9
20,Persian-Farsi,Harrow,2548,0.01110733,6
20,Persian-Farsi,Hillingdon,1664,0.00635141,9
20,Persian-Farsi,Hounslow,2121,0.00877443,10
20,Persian-Farsi,Kensington and Chelsea,1364,0.00891416,9
20,Persian-Farsi,Kingston upon Thames,822,0.00536252,9
20,Persian-Farsi,Richmond upon Thames,1053,0.00590508,6
21,Polish,Barking and Dagenham,1786,0.01022517,5
21,Polish,Barnet,7930,0.023294,2
21,Polish,Bexley,918,0.00269658,3
21,Polish,Brent,10153,0.0341415,3
21,Polish,Bromley,1597,0.0053717,2
21,Polish,Croydon,4940,0.01425887,3
21,Polish,Ealing,20463,0.06338336,2
21,Polish,Enfield,5837,0.01960751,3
21,Polish,Greenwich,2232,0.00923554,3
21,Polish,Hackney,3944,0.01683089,3
21,Polish,Hammersmith and Fulham,2719,0.01554416,5
21,Polish,Haringey,10504,0.0430898,3
21,Polish,Harrow,3699,0.01612481,5
21,Polish,Havering,829,0.00361841,3
21,Polish,Hillingdon,3994,0.01524491,3
21,Polish,Hounslow,9969,0.04124108,3
21,Polish,Kingston upon Thames,1919,0.01251908,4
21,Polish,Lambeth,6451,0.02223869,4
21,Polish,Lewisham,4088,0.01558782,2
21,Polish,Merton,6604,0.03466667,2
21,Polish,Newham,5966,0.02040384,7
21,Polish,Redbridge,2293,0.00862134,8
21,Polish,Richmond upon Thames,1712,0.00960066,2
21,Polish,Southwark,3171,0.01152081,5
21,Polish,Sutton,1921,0.01053295,3
21,Polish,Tower Hamlets,2287,0.00943606,8
21,Polish,Waltham Forest,8021,0.03268275,3
21,Polish,Wandsworth,6191,0.02113114,2
22,Portuguese,Barking and Dagenham,1368,0.00783205,8
22,Portuguese,Barnet,2839,0.00833943,7
22,Portuguese,Brent,6442,0.02166252,5
22,Portuguese,Bromley,765,0.00257317,6
22,Portuguese,Camden,2004,0.98091043,10
22,Portuguese,City of London,47,0.00651692,9
22,Portuguese,Croydon,2024,0.0058421,7
22,Portuguese,Hackney,2739,0.01168859,8
22,Portuguese,Hammersmith and Fulham,2227,0.01273146,8
22,Portuguese,Haringey,3093,0.01268819,5
22,Portuguese,Islington,1655,0.00834051,9
22,Portuguese,Kensington and Chelsea,2091,0.01366533,6
22,Portuguese,Kingston upon Thames,814,0.00531033,10
22,Portuguese,Lambeth,9897,0.03411817,2
22,Portuguese,Lewisham,1966,0.00749649,7
22,Portuguese,Merton,1625,0.00853018,5
22,Portuguese,Newham,4061,0.0138887,10
22,Portuguese,Richmond upon Thames,626,0.00351052,10
22,Portuguese,Southwark,3653,0.01327201,4
22,Portuguese,Sutton,812,0.00445224,5
22,Portuguese,Tower Hamlets,2033,0.00838807,9
22,Portuguese,Wandsworth,3009,0.01027033,6
22,Portuguese,Westminster,3575,0.01691371,6
23,Romanian,Barking and Dagenham,1182,0.00676716,10
23,Romanian,Barnet,3995,0.01173512,5
23,Romanian,Brent,5722,0.01924137,8
23,Romanian,Harrow,4492,0.01958169,4
23,Romanian,Havering,401,0.00175028,10
23,Romanian,Newham,4555,0.01557819,9
23,Romanian,Redbridge,1783,0.00670381,10
23,Romanian,Waltham Forest,4031,0.0164249,4
24,Russian,Bromley,558,0.0018769,10
24,Russian,Kensington and Chelsea,1363,0.00890762,10
24,Russian,Westminster,2158,0.01020973,10
25,Somali,Brent,6079,0.02044186,7
25,Somali,Camden,2545,0.96915461,6
25,Somali,Ealing,5611,0.01737986,7
25,Somali,Enfield,3127,0.01050415,5
25,Somali,Greenwich,1476,0.00610738,8
25,Somali,Hammersmith and Fulham,2296,0.01312593,7
25,Somali,Haringey,2948,0.01209337,7
25,Somali,Harrow,1781,0.0077638,9
25,Somali,Hillingdon,2925,0.01116459,7
25,Somali,Hounslow,2336,0.00966387,8
25,Somali,Islington,2197,0.01107197,7
25,Somali,Lambeth,2354,0.008115,7
25,Somali,Tower Hamlets,2465,0.01017048,7
25,Somali,Wandsworth,2343,0.00799713,8
26,Spanish,Bromley,798,0.00268417,5
26,Spanish,Camden,3107,0.73538462,4
26,Spanish,City of London,127,0.01760954,3
26,Spanish,Croydon,1378,0.00397747,10
26,Spanish,Hackney,3489,0.0148892,4
26,Spanish,Hammersmith and Fulham,3346,0.01912864,4
26,Spanish,Haringey,3863,0.0158469,4
26,Spanish,Islington,3435,0.01731098,3
26,Spanish,Kensington and Chelsea,4150,0.02712152,4
26,Spanish,Kingston upon Thames,888,0.00579309,8
26,Spanish,Lambeth,7152,0.02465527,3
26,Spanish,Lewisham,2477,0.00944497,5
26,Spanish,Merton,1396,0.00732808,7
26,Spanish,Richmond upon Thames,1204,0.00675187,4
26,Spanish,Southwark,6429,0.02335771,2
26,Spanish,Tower Hamlets,2928,0.0120808,4
26,Spanish,Wandsworth,3400,0.01160489,5
26,Spanish,Westminster,4745,0.02244911,4
27,Tagalog-Filipino,Hammersmith and Fulham,1325,0.00757485,10
27,Tagalog-Filipino,Havering,430,0.00187686,6
27,Tagalog-Filipino,Kensington and Chelsea,1387,0.00906447,8
27,Tagalog-Filipino,Sutton,594,0.00325694,7
28,Tamil,Bexley,736,0.00216197,4
28,Tamil,Brent,6141,0.02065035,6
28,Tamil,Bromley,684,0.00230071,7
28,Tamil,Croydon,5172,0.01492852,2
28,Tamil,Ealing,6002,0.01859096,5
28,Tamil,Harrow,8304,0.0361991,3
28,Tamil,Hillingdon,3556,0.01357309,4
28,Tamil,Kingston upon Thames,2626,0.01713138,2
28,Tamil,Lewisham,3338,0.01272802,4
28,Tamil,Merton,5988,0.03143307,3
28,Tamil,Newham,6818,0.02331769,6
28,Tamil,Redbridge,6895,0.02592417,4
